YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2010,01,06,20,50,93,5.9,6.9,1.42,13.79,7.08,281,1019.8,10.3,12.6,999.0,99.0,99.00
2010,01,06,21,50,101,3.2,4.1,1.43,13.79,7.58,283,1019.7,10.7,12.7,999.0,99.0,99.00
2010,01,06,22,50,111,1.3,2.1,1.39,13.79,7.85,284,1019.7,11.2,12.7,999.0,99.0,99.00
2010,01,06,23,50,108,1.0,1.6,1.49,13.79,8.83,282,1019.4,10.7,12.7,999.0,99.0,99.00
2010,01,07,00,50,140,0.6,1.2,1.36,13.79,8.86,278,1019.3,11.0,12.7,999.0,99.0,99.00
2010,01,07,01,50,109,1.1,1.8,1.44,13.79,9.75,271,1019.3,11.3,12.7,999.0,99.0,99.00
2010,01,07,02,50,76,1.6,2.1,1.60,12.90,10.13,262,1019.6,11.6,12.7,999.0,99.0,99.00
2010,01,07,03,50,40,1.3,2.0,1.60,13.79,10.10,268,1020.5,11.6,12.7,999.0,99.0,99.00
2010,01,07,04,50,84,3.6,5.3,1.52,13.79,9.35,292,1020.1,10.9,12.6,999.0,99.0,99.00
2010,01,07,05,50,104,3.2,4.0,1.59,12.90,9.18,294,1019.9,10.1,12.5,999.0,99.0,99.00
2010,01,07,06,50,95,2.6,4.0,1.80,12.90,9.80,291,1019.7,10.1,12.4,999.0,99.0,99.00
2010,01,07,07,50,95,4.2,5.1,1.89,11.43,9.54,291,1019.0,10.8,12.4,999.0,99.0,99.00
2010,01,07,08,50,83,0.8,1.7,1.86,12.12,9.03,288,1019.4,10.5,12.4,999.0,99.0,99.00
2010,01,07,09,50,60,1.0,2.0,1.67,13.79,8.44,278,1019.3,10.4,12.4,999.0,99.0,99.00
2010,01,07,10,50,294,0.5,1.4,1.83,12.90,9.02,275,1019.0,10.6,12.4,999.0,99.0,99.00
2010,01,07,11,50,36,1.6,2.5,1.67,12.12,9.02,264,1018.4,10.0,12.4,999.0,99.0,99.00
2010,01,07,12,50,138,0.5,1.2,1.67,12.12,8.97,261,1018.6,10.1,12.4,999.0,99.0,99.00
2010,01,07,13,50,276,3.2,5.3,1.74,12.12,9.01,265,1019.6,10.7,12.5,999.0,99.0,99.00
2010,01,07,14,50,339,2.9,4.0,1.85,12.12,9.07,263,1019.8,11.1,12.6,999.0,99.0,99.00
2010,01,07,15,50,3,2.3,3.9,1.64,11.43,8.80,257,1019.6,10.9,12.6,999.0,99.0,99.00
2010,01,07,16,50,6,1.3,2.4,1.69,11.43,9.18,265,1019.9,10.9,12.7,999.0,99.0,99.00
2010,01,07,17,50,103,3.5,4.4,1.60,12.12,8.79,267,1020.4,9.6,12.7,999.0,99.0,99.00
2010,01,07,18,50,100,4.9,5.9,1.76,11.43,8.37,283,1020.2,9.5,12.7,999.0,99.0,99.00
2010,01,07,19,50,91,6.2,7.5,1.70,11.43,8.12,274,1019.0,9.8,12.7,999.0,99.0,99.00
2010,01,07,20,50,90,6.8,8.1,1.82,12.12,7.74,275,1018.2,9.9,12.7,999.0,99.0,99.00
2010,01,07,21,50,94,5.6,6.8,1.67,12.12,7.49,271,1017.8,10.0,12.8,999.0,99.0,99.00
2010,01,07,22,50,94,4.7,5.9,1.72,10.81,7.96,270,1018.4,10.8,12.8,999.0,99.0,99.00
2010,01,07,23,50,81,2.7,3.8,1.77,11.43,7.98,270,1019.3,11.1,12.7,999.0,99.0,99.00
2010,01,08,00,50,350,1.3,1.8,1.82,11.43,8.64,270,1019.7,11.5,12.7,999.0,99.0,99.00
2010,01,08,01,50,322,3.2,4.2,1.74,11.43,9.07,255,1019.7,11.6,12.7,999.0,99.0,99.00
2010,01,08,02,50,332,4.5,5.2,1.68,12.12,9.38,255,1019.3,11.6,12.7,999.0,99.0,99.00
2010,01,08,03,50,327,4.5,5.5,1.84,11.43,8.79,254,1019.2,11.8,12.7,999.0,99.0,99.00
2010,01,08,04,50,38,2.4,3.5,1.80,12.12,8.60,268,1018.6,11.8,12.7,999.0,99.0,99.00
2010,01,08,05,50,94,5.5,6.9,1.78,12.12,9.18,286,1017.9,10.8,12.7,999.0,99.0,99.00
2010,01,08,06,50,112,5.8,7.1,2.05,11.43,8.94,289,1018.1,10.3,12.6,999.0,99.0,99.00
2010,01,08,07,50,107,6.9,8.4,2.09,12.12,8.35,285,1017.6,10.7,12.6,999.0,99.0,99.00
2010,01,08,08,50,93,7.4,8.8,2.13,11.43,8.23,275,1017.4,10.3,12.7,999.0,99.0,99.00
2010,01,08,09,50,88,7.8,9.8,2.28,12.12,8.31,280,1017.3,10.2,12.7,999.0,99.0,99.00
2010,01,08,10,50,99,7.0,8.8,2.47,13.79,8.91,280,1018.2,10.0,12.7,999.0,99.0,99.00
2010,01,08,11,50,83,5.8,7.7,2.74,13.79,9.52,284,1018.7,10.0,12.7,999.0,99.0,99.00
2010,01,08,12,50,95,7.4,9.1,2.89,12.90,9.54,277,1018.1,10.4,12.7,999.0,99.0,99.00
2010,01,08,13,50,93,7.7,9.7,2.96,14.81,9.54,283,1018.1,9.9,12.7,999.0,99.0,99.00
2010,01,08,14,50,99,8.2,10.0,3.00,14.81,9.23,286,1018.6,9.9,12.7,999.0,99.0,99.00
2010,01,08,15,50,99,7.4,9.2,3.13,12.90,9.92,274,1018.8,9.9,12.7,999.0,99.0,99.00
2010,01,08,16,50,94,7.5,9.2,2.82,13.79,8.87,282,1019.8,9.4,12.6,999.0,99.0,99.00
2010,01,08,17,50,85,7.8,9.4,3.08,17.39,9.72,283,1020.4,9.3,12.6,999.0,99.0,99.00
2010,01,08,18,50,84,8.4,10.8,3.13,16.00,10.21,277,1020.5,9.8,12.7,999.0,99.0,99.00
2010,01,08,19,50,87,9.6,11.9,2.95,16.00,8.72,282,1018.8,10.2,12.7,999.0,99.0,99.00
2010,01,08,20,50,94,7.8,10.5,3.13,13.79,8.86,274,1019.3,10.3,12.7,999.0,99.0,99.00
2010,01,08,21,50,91,7.8,10.4,3.26,14.81,9.20,289,1018.7,11.0,12.7,999.0,99.0,99.00
2010,01,08,22,50,100,7.7,9.1,3.21,16.00,9.66,284,1019.1,11.7,12.7,999.0,99.0,99.00
2010,01,08,23,50,91,6.4,8.0,3.17,14.81,10.45,286,1020.0,12.2,12.7,999.0,99.0,99.00
2010,01,09,00,50,100,4.5,6.4,3.35,16.00,10.56,284,1021.2,11.9,12.7,999.0,99.0,99.00
2010,01,09,01,50,93,3.7,5.1,3.11,14.81,10.07,292,1021.5,11.6,12.7,999.0,99.0,99.00
2010,01,09,02,50,83,5.6,7.3,3.31,13.79,10.56,284,1021.4,10.9,12.7,999.0,99.0,99.00
2010,01,09,03,50,86,5.6,7.1,3.10,13.79,10.15,287,1021.5,10.2,12.6,999.0,99.0,99.00
2010,01,09,04,50,88,6.0,8.1,3.06,13.79,10.01,288,1021.6,10.6,12.6,999.0,99.0,99.00
2010,01,09,05,50,92,10.1,12.4,3.13,16.00,9.59,294,1020.4,10.2,12.6,999.0,99.0,99.00
2010,01,09,06,50,94,8.8,11.3,3.05,16.00,9.17,297,1021.5,9.8,12.6,999.0,99.0,99.00
2010,01,09,07,50,93,7.8,9.3,3.00,13.79,8.89,288,1021.7,9.6,12.7,999.0,99.0,99.00
2010,01,09,08,50,90,8.7,11.4,2.81,16.00,8.77,291,1020.9,9.9,12.6,999.0,99.0,99.00
2010,01,09,09,50,99,8.9,11.5,2.83,14.81,8.50,290,1020.5,10.0,12.6,999.0,99.0,99.00
2010,01,09,10,50,90,8.4,10.4,3.25,14.81,8.73,289,1020.6,9.7,12.6,999.0,99.0,99.00
2010,01,09,11,50,86,7.2,9.7,3.20,14.81,8.96,291,1020.6,9.4,12.6,999.0,99.0,99.00
2010,01,09,12,50,97,8.9,11.1,2.96,14.81,8.72,286,1020.2,9.6,12.6,999.0,99.0,99.00
2010,01,09,13,50,99,8.9,10.9,3.13,13.79,8.86,300,1020.7,9.4,12.6,999.0,99.0,99.00
2010,01,09,14,50,89,7.1,9.1,2.71,14.81,8.34,282,1021.1,9.4,12.6,999.0,99.0,99.00
2010,01,09,15,50,86,7.7,9.8,3.13,14.81,8.92,290,1021.5,9.3,12.6,999.0,99.0,99.00
2010,01,09,16,50,92,8.3,10.7,2.88,13.79,8.21,298,1021.7,9.4,12.6,999.0,99.0,99.00
2010,01,09,17,50,100,6.9,8.5,2.75,14.81,8.40,293,1022.2,10.0,12.6,999.0,99.0,99.00
2010,01,09,18,50,95,7.5,9.6,2.89,14.81,9.21,295,1022.3,10.0,12.6,999.0,99.0,99.00
2010,01,09,19,50,96,5.9,7.7,2.85,14.81,9.32,285,1022.2,10.3,12.6,999.0,99.0,99.00
2010,01,09,20,50,93,7.1,9.2,2.82,13.79,8.85,295,1020.9,10.7,12.6,999.0,99.0,99.00
2010,01,09,21,50,91,7.2,9.0,2.76,13.79,8.78,288,1020.3,10.9,12.6,999.0,99.0,99.00
2010,01,09,22,50,92,7.6,9.4,2.76,14.81,8.89,290,1020.0,11.5,12.6,999.0,99.0,99.00
2010,01,09,23,50,110,5.2,6.3,2.83,13.79,8.83,284,1020.8,11.8,12.6,999.0,99.0,99.00
2010,01,10,00,50,102,4.4,5.9,2.72,13.79,9.47,300,1020.7,12.0,12.6,999.0,99.0,99.00
2010,01,10,01,50,103,3.9,5.6,2.85,14.81,10.05,292,1021.2,12.1,12.6,999.0,99.0,99.00
2010,01,10,02,50,109,3.6,5.0,2.88,14.81,10.10,291,1021.4,12.0,12.6,999.0,99.0,99.00
2010,01,10,03,50,92,4.3,6.2,2.96,13.79,10.39,289,1021.7,11.8,12.6,999.0,99.0,99.00
2010,01,10,04,50,94,4.8,6.4,3.18,13.79,10.77,288,1021.8,11.5,12.6,999.0,99.0,99.00
2010,01,10,05,50,92,5.1,6.5,3.31,14.81,11.15,293,1022.2,11.4,12.6,999.0,99.0,99.00
2010,01,10,06,50,99,4.7,6.6,3.33,14.81,10.99,290,1022.4,11.2,12.6,999.0,99.0,99.00
2010,01,10,07,50,90,4.6,6.7,3.84,17.39,12.12,285,1022.1,11.3,12.6,999.0,99.0,99.00
2010,01,10,08,50,92,4.6,6.6,3.72,16.00,11.40,290,1021.9,11.0,12.6,999.0,99.0,99.00
2010,01,10,09,50,95,5.0,6.8,3.84,14.81,11.66,292,1021.7,10.6,12.6,999.0,99.0,99.00
2010,01,10,10,50,95,5.7,7.8,3.87,16.00,11.72,295,1021.4,10.2,12.6,999.0,99.0,99.00
2010,01,10,11,50,90,5.6,7.9,3.93,16.00,11.23,285,1020.6,10.2,12.6,999.0,99.0,99.00
2010,01,10,12,50,99,6.4,8.8,4.15,16.00,11.31,292,1020.3,10.0,12.6,999.0,99.0,99.00
2010,01,10,13,50,104,5.2,7.9,4.38,16.00,11.56,294,1020.6,10.0,12.5,999.0,99.0,99.00
2010,01,10,14,50,97,7.3,9.8,3.85,16.00,11.28,286,1020.4,9.8,12.5,999.0,99.0,99.00
