YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2003,01,04,12,115,2.2,4.7,3.50,14.29,10.65,999,1022.5,12.1,12.8,999.0,99.0,99.00
2003,01,04,13,97,6.0,8.1,3.68,12.50,10.67,999,1021.5,11.3,12.8,999.0,99.0,99.00
2003,01,04,14,101,5.0,7.3,2.91,14.29,9.81,999,1022.2,11.8,12.8,999.0,99.0,99.00
2003,01,04,15,121,3.9,5.3,3.44,14.29,10.43,999,1023.3,12.5,12.8,999.0,99.0,99.00
2003,01,04,16,106,4.4,6.1,3.00,12.50,9.88,999,1023.6,12.2,12.8,999.0,99.0,99.00
2003,01,04,17,103,4.7,6.5,3.01,14.29,9.57,999,1024.5,12.5,12.7,999.0,99.0,99.00
2003,01,04,18,116,3.6,5.2,3.01,14.29,10.02,999,1025.1,12.8,12.7,999.0,99.0,99.00
2003,01,04,19,144,4.1,5.4,2.68,16.67,9.97,999,1025.4,12.9,12.8,999.0,99.0,99.00
2003,01,04,20,145,2.7,3.7,2.68,14.29,10.25,999,1025.7,13.0,12.8,999.0,99.0,99.00
2003,01,04,21,127,3.0,4.2,2.67,14.29,10.13,999,1025.1,12.9,12.8,999.0,99.0,99.00
2003,01,04,22,127,3.1,4.2,2.58,14.29,10.43,999,1024.8,12.5,12.8,999.0,99.0,99.00
2003,01,04,23,117,3.0,4.1,2.53,14.29,10.01,999,1024.7,12.2,12.7,999.0,99.0,99.00
2003,01,05,00,137,2.3,3.5,2.93,14.29,10.84,999,1025.1,12.3,12.7,999.0,99.0,99.00
2003,01,05,01,116,2.5,3.9,3.05,14.29,10.73,999,1025.3,12.4,12.7,999.0,99.0,99.00
2003,01,05,02,126,2.2,3.4,3.00,12.50,10.50,999,1025.4,12.5,12.7,999.0,99.0,99.00
2003,01,05,03,99,0.5,1.8,3.27,12.50,11.01,999,1025.9,12.6,12.7,999.0,99.0,99.00
2003,01,05,04,67,0.3,1.2,3.48,12.50,10.61,999,1026.0,12.6,12.7,999.0,99.0,99.00
2003,01,05,05,70,1.5,2.8,3.62,12.50,10.36,999,1026.0,12.6,12.7,999.0,99.0,99.00
2003,01,05,06,77,0.4,1.7,3.97,16.67,11.24,999,1025.8,12.7,12.7,999.0,99.0,99.00
2003,01,05,07,5,1.3,2.7,3.98,16.67,10.93,999,1025.9,12.5,12.7,999.0,99.0,99.00
2003,01,05,08,336,1.7,3.5,4.30,16.67,11.23,999,1025.8,12.3,12.7,999.0,99.0,99.00
2003,01,05,09,341,2.3,3.4,4.31,16.67,10.92,999,1025.6,12.2,12.7,999.0,99.0,99.00
2003,01,05,10,339,3.7,5.2,3.73,20.00,10.81,999,1025.9,12.0,12.7,999.0,99.0,99.00
2003,01,05,11,326,3.7,5.6,4.57,16.67,11.48,999,1025.7,11.5,12.6,999.0,99.0,99.00
2003,01,05,12,325,5.3,6.7,3.70,16.67,10.79,999,1025.3,11.4,12.6,999.0,99.0,99.00
2003,01,05,13,333,5.1,6.7,4.16,16.67,11.78,999,1025.1,11.5,12.6,999.0,99.0,99.00
2003,01,05,14,346,4.9,6.3,3.77,16.67,10.99,999,1025.3,11.5,12.7,999.0,99.0,99.00
2003,01,05,15,334,3.6,5.1,3.97,16.67,11.34,999,1025.2,11.4,12.7,999.0,99.0,99.00
2003,01,05,16,352,4.3,6.3,4.35,16.67,11.91,999,1025.4,11.2,12.7,999.0,99.0,99.00
