YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2012,01,03,22,50,329,3.8,5.2,2.73,14.81,9.67,999,1026.2,8.6,11.2,999.0,99.0,99.00
2012,01,03,23,50,323,3.7,4.5,2.77,13.79,9.90,999,1026.3,8.9,11.2,999.0,99.0,99.00
2012,01,04,00,50,311,2.3,3.5,2.66,12.90,9.40,999,1026.4,9.5,11.1,999.0,99.0,99.00
2012,01,04,01,50,304,4.6,5.9,2.70,13.79,9.86,999,1026.6,11.0,11.1,999.0,99.0,99.00
2012,01,04,02,50,317,5.6,6.9,2.68,12.90,9.30,999,1026.8,11.3,11.1,999.0,99.0,99.00
2012,01,04,03,50,322,5.0,5.9,2.48,13.79,8.54,999,1027.1,11.4,11.0,999.0,99.0,99.00
2012,01,04,04,50,323,4.6,5.8,2.59,13.79,8.72,999,1027.1,11.3,11.1,999.0,99.0,99.00
2012,01,04,05,50,334,4.6,5.5,2.65,13.79,9.02,999,1027.2,11.3,11.1,999.0,99.0,99.00
2012,01,04,06,50,337,3.6,4.3,2.23,13.79,8.41,999,1026.9,11.1,11.0,999.0,99.0,99.00
2012,01,04,07,50,104,1.5,2.5,2.27,12.12,8.84,999,1026.7,10.7,11.0,999.0,99.0,99.00
2012,01,04,08,50,101,1.6,2.6,2.69,13.79,9.80,999,1026.3,10.6,11.0,999.0,99.0,99.00
2012,01,04,09,50,99,2.9,4.2,2.12,11.43,8.87,999,1026.2,11.1,11.0,999.0,99.0,99.00
2012,01,04,10,50,36,1.4,2.1,2.18,12.90,9.13,999,1026.8,11.1,11.0,999.0,99.0,99.00
2012,01,04,11,50,26,2.3,3.1,2.06,12.90,9.04,999,1026.9,11.0,10.9,999.0,99.0,99.00
2012,01,04,12,50,8,2.4,3.0,1.94,11.43,8.76,999,1027.1,11.0,10.9,999.0,99.0,99.00
2012,01,04,13,50,360,2.6,3.5,2.15,11.43,9.33,999,1027.5,10.9,10.9,999.0,99.0,99.00
2012,01,04,14,50,338,3.6,4.7,2.22,13.79,9.40,999,1028.1,11.0,10.9,999.0,99.0,99.00
2012,01,04,15,50,315,3.8,4.8,2.55,12.90,9.88,999,1028.6,11.1,10.9,999.0,99.0,99.00
2012,01,04,16,50,309,3.4,4.6,2.43,12.90,9.54,999,1029.4,11.2,11.0,999.0,99.0,99.00
2012,01,04,17,50,331,2.5,3.4,2.27,13.79,9.36,999,1029.7,11.4,11.0,999.0,99.0,99.00
2012,01,04,18,50,328,3.1,4.2,2.42,12.90,9.66,999,1029.5,11.4,11.0,999.0,99.0,99.00
2012,01,04,19,50,346,4.7,5.7,2.64,12.90,9.90,999,1028.6,11.3,11.1,999.0,99.0,99.00
2012,01,04,20,50,9,2.5,3.2,2.11,12.12,9.34,999,1027.3,11.5,11.1,999.0,99.0,99.00
2012,01,04,21,50,354,1.8,2.5,2.43,12.90,9.68,999,1026.9,11.5,11.2,999.0,99.0,99.00
2012,01,04,22,50,24,0.8,1.4,2.66,12.12,9.90,999,1026.5,11.3,11.2,999.0,99.0,99.00
2012,01,04,23,50,311,3.1,4.1,2.49,12.12,9.84,999,1026.6,11.5,11.3,999.0,99.0,99.00
2012,01,05,00,50,308,4.4,5.4,2.64,12.12,10.20,999,1026.7,11.6,11.2,999.0,99.0,99.00
2012,01,05,01,50,303,2.1,3.1,2.53,12.90,10.00,999,1027.0,11.3,11.2,999.0,99.0,99.00
2012,01,05,02,50,295,6.4,7.9,2.74,12.12,10.14,999,1027.5,11.2,11.1,999.0,99.0,99.00
2012,01,05,03,50,295,5.8,7.0,3.08,12.12,9.90,999,1027.9,11.1,11.0,999.0,99.0,99.00
2012,01,05,04,50,302,8.3,10.3,2.70,12.12,8.86,999,1027.9,11.0,11.0,999.0,99.0,99.00
2012,01,05,05,50,316,10.8,12.9,3.01,12.90,7.81,999,1027.8,11.2,11.0,999.0,99.0,99.00
2012,01,05,06,50,310,11.9,14.2,2.86,12.90,7.22,999,1027.0,11.4,11.1,999.0,99.0,99.00
2012,01,05,07,50,313,11.0,13.1,2.93,12.12,7.03,999,1026.7,11.5,11.1,999.0,99.0,99.00
2012,01,05,08,50,309,10.1,12.2,3.10,13.79,7.37,999,1026.7,11.2,11.1,999.0,99.0,99.00
2012,01,05,09,50,315,11.1,13.1,2.92,13.79,7.52,999,1026.6,11.9,11.0,999.0,99.0,99.00
2012,01,05,10,50,318,10.9,13.9,3.15,13.79,7.62,999,1026.4,12.0,11.0,999.0,99.0,99.00
2012,01,05,11,50,320,9.4,11.2,3.22,12.12,7.74,999,1026.2,11.7,11.0,999.0,99.0,99.00
2012,01,05,12,50,324,8.2,9.9,2.85,13.79,7.69,999,1025.8,11.6,11.0,999.0,99.0,99.00
2012,01,05,13,50,317,9.2,11.6,3.12,13.79,8.05,999,1025.6,11.4,11.0,999.0,99.0,99.00
2012,01,05,14,50,322,7.7,9.6,3.18,12.90,7.95,999,1026.0,11.4,11.0,999.0,99.0,99.00
2012,01,05,15,50,314,10.5,12.9,3.43,12.12,8.03,999,1026.0,11.0,11.0,999.0,99.0,99.00
2012,01,05,16,50,313,9.2,11.0,3.21,13.79,7.58,999,1026.5,10.8,11.0,999.0,99.0,99.00
2012,01,05,17,50,314,8.6,10.4,3.76,12.90,8.45,999,1026.8,11.1,11.0,999.0,99.0,99.00
