YY,MM,DD,hh,mm,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2005,01,07,00,00,111,4.3,5.1,1.25,14.81,7.61,999,1014.3,10.5,13.3,999.0,99.0,99.00
2005,01,07,01,00,131,5.8,7.0,1.30,14.81,7.53,999,1013.0,11.0,13.3,999.0,99.0,99.00
2005,01,07,02,00,98,7.8,8.8,1.11,14.81,6.14,999,1011.9,10.8,13.3,999.0,99.0,99.00
2005,01,07,03,00,100,8.2,9.6,1.27,14.81,5.52,999,1011.2,10.6,13.2,999.0,99.0,99.00
2005,01,07,04,00,99,9.1,10.9,1.09,16.00,4.38,999,1010.0,10.6,13.2,999.0,99.0,99.00
2005,01,07,05,00,97,8.8,10.6,1.07,14.81,4.14,999,1009.2,10.8,13.2,999.0,99.0,99.00
2005,01,07,06,00,89,9.4,10.9,1.49,14.81,5.45,999,1008.2,10.9,13.3,999.0,99.0,99.00
2005,01,07,07,00,96,11.3,13.3,1.36,13.79,4.54,999,1006.7,10.4,13.2,999.0,99.0,99.00
2005,01,07,08,00,91,11.4,13.9,1.46,4.17,4.31,999,1004.7,10.7,13.2,999.0,99.0,99.00
2005,01,07,09,00,97,12.5,14.9,1.94,14.81,4.82,999,1002.7,10.1,13.2,999.0,99.0,99.00
2005,01,07,10,00,85,13.9,16.2,1.91,4.35,4.54,999,1000.2,9.5,13.2,999.0,99.0,99.00
2005,01,07,11,00,81,14.5,17.4,1.97,5.00,4.58,999,998.0,9.1,13.3,999.0,99.0,99.00
2005,01,07,12,00,92,14.5,17.2,2.50,5.56,4.97,999,995.9,9.3,13.3,999.0,99.0,99.00
2005,01,07,13,00,97,13.3,16.1,2.76,6.25,5.36,999,994.6,9.7,13.3,999.0,99.0,99.00
2005,01,07,14,00,105,13.5,15.9,3.07,7.14,5.67,999,993.4,9.7,13.2,999.0,99.0,99.00
2005,01,07,15,00,94,10.3,13.3,3.24,8.33,5.73,999,992.9,9.7,13.2,999.0,99.0,99.00
2005,01,07,16,00,89,10.1,12.2,3.56,9.09,6.41,999,992.0,10.4,13.2,999.0,99.0,99.00
2005,01,07,17,00,111,9.2,11.5,3.35,9.09,6.26,999,991.6,11.6,13.2,999.0,99.0,99.00
2005,01,07,18,00,149,11.4,13.9,3.53,9.09,6.88,999,990.7,12.5,13.2,999.0,99.0,99.00
2005,01,07,19,00,156,11.3,14.0,3.89,10.00,7.34,999,991.0,13.1,13.2,999.0,99.0,99.00
2005,01,07,20,00,171,8.2,9.7,3.72,10.00,7.47,999,990.2,12.7,13.2,999.0,99.0,99.00
2005,01,07,21,00,283,13.7,17.3,3.85,10.00,7.89,999,991.2,11.5,13.2,999.0,99.0,99.00
2005,01,07,22,00,290,11.9,14.2,4.11,10.00,7.53,999,992.8,11.3,13.2,999.0,99.0,99.00
2005,01,07,23,00,286,12.9,15.9,3.50,10.00,6.70,999,994.4,11.1,13.1,999.0,99.0,99.00
2005,01,08,00,00,300,12.2,14.8,4.06,10.00,7.17,999,996.4,10.2,13.1,999.0,99.0,99.00
2005,01,08,01,00,294,8.9,11.0,3.71,12.12,7.26,999,998.1,10.2,13.0,999.0,99.0,99.00
2005,01,08,02,00,259,9.6,11.7,3.67,12.12,7.29,999,1000.1,10.6,13.1,999.0,99.0,99.00
2005,01,08,03,00,249,7.3,9.8,3.92,10.00,7.74,999,1000.8,10.7,13.1,999.0,99.0,99.00
2005,01,08,04,00,248,9.6,14.3,3.62,11.43,7.55,999,1001.7,9.4,13.0,999.0,99.0,99.00
2005,01,08,05,00,240,7.3,9.9,3.64,10.81,7.49,999,1002.1,10.4,13.0,999.0,99.0,99.00
2005,01,08,06,00,260,8.9,11.3,3.55,10.81,7.31,999,1002.8,9.5,13.0,999.0,99.0,99.00
2005,01,08,07,00,237,9.1,11.4,3.31,10.81,6.91,999,1003.2,10.6,13.0,999.0,99.0,99.00
2005,01,08,08,00,242,8.0,9.8,3.50,10.81,7.17,999,1003.7,10.3,13.0,999.0,99.0,99.00
2005,01,08,09,00,207,10.7,13.1,3.12,10.00,6.54,999,1003.4,10.2,13.0,999.0,99.0,99.00
2005,01,08,10,00,242,10.5,12.7,3.33,10.00,6.65,999,1004.2,11.0,13.0,999.0,99.0,99.00
2005,01,08,11,00,266,11.2,15.9,3.11,8.33,6.56,999,1004.7,10.3,13.1,999.0,99.0,99.00
2005,01,08,12,00,251,9.6,17.8,3.42,9.09,6.89,999,1004.7,9.8,13.1,999.0,99.0,99.00
2005,01,08,13,00,259,8.7,12.5,3.40,8.33,6.84,999,1004.9,9.9,13.1,999.0,99.0,99.00
2005,01,08,14,00,238,7.0,8.9,3.74,8.33,7.35,999,1004.8,10.5,13.1,999.0,99.0,99.00
2005,01,08,15,00,217,5.8,9.2,3.54,8.33,7.38,999,1004.9,8.6,13.0,999.0,99.0,99.00
2005,01,08,16,00,200,5.4,6.9,3.50,12.12,7.96,999,1004.9,10.2,13.0,999.0,99.0,99.00
2005,01,08,17,00,205,8.4,10.3,3.98,13.79,8.18,999,1005.1,11.3,13.0,999.0,99.0,99.00
2005,01,08,18,00,202,9.5,11.5,3.95,13.79,8.12,999,1005.3,11.4,13.0,999.0,99.0,99.00
2005,01,08,19,00,200,10.8,12.3,3.58,13.79,7.39,999,1005.1,11.5,13.1,999.0,99.0,99.00
2005,01,08,20,00,203,11.8,14.1,3.86,13.79,7.79,999,1004.7,11.6,13.1,999.0,99.0,99.00
2005,01,08,21,00,202,12.5,14.5,3.71,13.79,7.56,999,1003.9,11.8,13.1,999.0,99.0,99.00
2005,01,08,22,00,209,12.3,15.4,3.80,13.79,7.46,999,1003.8,12.0,13.1,999.0,99.0,99.00
2005,01,08,23,00,248,11.7,15.6,3.89,14.81,7.36,999,1004.5,11.3,13.1,999.0,99.0,99.00
2005,01,09,00,00,235,11.2,13.0,4.01,13.79,7.26,999,1005.5,11.7,13.1,999.0,99.0,99.00
2005,01,09,01,00,253,8.9,11.6,4.17,13.79,7.81,999,1006.2,10.7,13.1,999.0,99.0,99.00
2005,01,09,02,00,218,10.3,12.3,3.98,12.90,7.38,999,1006.8,11.8,13.1,999.0,99.0,99.00
2005,01,09,03,00,252,7.4,9.4,3.90,13.79,7.33,999,1008.0,10.5,13.1,999.0,99.0,99.00
2005,01,09,04,00,238,7.1,8.7,4.05,12.90,7.88,999,1008.8,11.5,13.1,999.0,99.0,99.00
2005,01,09,05,00,234,7.9,9.3,3.89,12.90,7.64,999,1009.4,11.8,13.1,999.0,99.0,99.00
2005,01,09,06,00,211,8.6,10.0,3.83,10.81,7.62,999,1010.3,11.7,13.1,999.0,99.0,99.00
2005,01,09,07,00,209,7.5,9.2,3.99,12.90,7.84,999,1010.9,11.6,13.1,999.0,99.0,99.00
2005,01,09,08,00,209,6.9,8.6,3.58,12.90,7.78,999,1011.7,11.8,13.1,999.0,99.0,99.00
2005,01,09,09,00,209,6.1,7.7,3.50,12.12,7.76,999,1011.7,12.0,13.1,999.0,99.0,99.00
2005,01,09,10,00,219,8.4,10.3,3.70,12.90,7.99,999,1012.0,11.8,13.0,999.0,99.0,99.00
2005,01,09,11,00,178,5.1,6.5,3.64,12.90,8.09,999,1012.6,10.7,13.0,999.0,99.0,99.00
2005,01,09,12,00,177,5.9,8.0,3.19,12.12,7.89,999,1012.4,11.4,13.0,999.0,99.0,99.00
2005,01,09,13,00,195,4.9,6.5,3.22,12.90,7.98,999,1012.0,11.8,13.0,999.0,99.0,99.00
2005,01,09,14,00,189,5.5,7.2,3.38,12.90,7.81,999,1012.2,11.9,13.0,999.0,99.0,99.00
2005,01,09,15,00,208,5.5,6.7,3.28,12.12,8.02,999,1012.4,11.9,12.6,999.0,99.0,99.00
2005,01,09,16,00,188,6.1,7.6,3.00,12.12,7.76,999,1012.9,11.9,12.7,999.0,99.0,99.00
2005,01,09,17,00,211,4.3,5.6,3.23,12.90,8.19,999,1013.1,11.9,12.8,999.0,99.0,99.00
2005,01,09,18,00,216,4.2,4.9,3.23,12.12,8.46,999,1013.9,12.2,12.7,999.0,99.0,99.00
2005,01,09,19,00,236,3.8,4.6,2.97,10.00,8.15,999,1014.2,12.1,12.8,999.0,99.0,99.00
2005,01,09,20,00,286,2.2,4.3,3.22,12.90,8.63,999,1013.6,11.7,13.1,999.0,99.0,99.00
2005,01,09,21,00,315,1.2,2.5,3.06,11.43,8.33,999,1012.8,11.7,13.2,999.0,99.0,99.00
2005,01,09,22,00,277,0.9,2.0,2.97,12.90,8.03,999,1012.7,11.9,13.2,999.0,99.0,99.00
2005,01,09,23,00,270,0.4,1.5,2.82,12.12,7.95,999,1012.8,12.3,13.2,999.0,99.0,99.00
